(60, 147)
(0, 92)
(0, 138)
(0, 193)
(0, 271)
(0, 332)
(0, 366)
(2, 71)
(6, 70)
(11, 405)
(12, 8)
(12, 62)
(18, 69)
(19, 0)
(21, 138)
(21, 332)
(22, 272)
(30, 68)
(33, 102)
(40, 101)
(43, 365)
(47, 273)
(50, 0)
(52, 100)
(58, 10)
(61, 99)
(70, 98)
(68, 275)
(69, 9)
(71, 367)
(77, 192)
(79, 191)
(80, 8)
(84, 43)
(82, 190)
(85, 44)
(85, 97)
(86, 45)
(87, 42)
(87, 46)
(88, 47)
(89, 48)
(88, 189)
(90, 7)
(92, 52)
(91, 303)
(91, 334)
(96, 41)
(97, 59)
(98, 60)
(98, 96)
(100, 61)
(103, 6)
(107, 370)
(108, 40)
(109, 61)
(111, 95)
(111, 5)
(120, 39)
(121, 371)
(121, 4)
(125, 94)
(125, 334)
(125, 445)
(124, 60)
(126, 447)
(127, 189)
(127, 303)
(125, 334)
(127, 334)
(128, 38)
(126, 123)
(129, 190)
(132, 191)
(133, 372)
(132, 3)
(134, 192)
(137, 194)
(139, 195)
(140, 37)
(138, 59)
(141, 437)
(142, 2)
(143, 411)
(147, 412)
(150, 36)
(150, 373)
(148, 417)
(151, 1)
(153, 92)
(152, 418)
(153, 423)
(154, 58)
(157, 92)
(157, 123)
(157, 275)
(158, 196)
(158, 271)
(159, 35)
(159, 198)
(157, 428)
(158, 429)
(161, 216)
(161, 252)
(162, 218)
(162, 251)
(161, 0)
(161, 431)
(165, 374)
(163, 435)
(164, 436)
(164, 446)
(167, 91)
(165, 442)
(166, 437)
(166, 440)
(169, 34)
(170, 36)
(171, 44)
(171, 57)
(172, 51)
(178, 375)
(182, 90)
(193, 376)
(196, 89)
(207, 377)
(211, 88)
(211, 215)
(211, 262)
(211, 377)
(212, 198)
(213, 175)
(216, 0)
(214, 152)
(215, 130)
(216, 101)
(218, 264)
(223, 287)
(224, 0)
(238, 372)
(242, 347)
(243, 370)
(244, 365)
(258, 200)
(260, 195)
(125, 333)
