(0, 0, 0, 'v')
(0, 2, 126, 'v')
(0, 3, 79, 'v')
(0, 7, 123, 'v')
(0, 9, 87, 'v')
(0, 10, 64, 'v')
(0, 11, 62, 'v')
(0, 16, 46, 'v')
(0, 17, 45, 'v')
(0, 21, 58, 'v')
(0, 25, 65, 'v')
(0, 28, 61, 'v')
(0, 35, 74, 'v')
(0, 45, 75, 'v')
(0, 60, 101, 'v')
(0, 62, 175, 'v')
(0, 64, 121, 'v')
(0, 67, 173, 'v')
(0, 68, 173, 'v')
(0, 71, 176, 'v')
(0, 72, 134, 'v')
(0, 73, 179, 'v')
(0, 75, 180, 'v')
(0, 82, 184, 'v')
(0, 83, 185, 'v')
(0, 87, 188, 'v')
(0, 89, 190, 'v')
(0, 92, 191, 'v')
(0, 94, 193, 'v')
(0, 95, 194, 'v')
(0, 96, 162, 'v')
(0, 100, 197, 'v')
(0, 102, 198, 'v')
(0, 104, 201, 'v')
(0, 105, 201, 'v')
(0, 112, 188, 'v')
(0, 114, 194, 'v')
(0, 116, 210, 'v')
(0, 117, 209, 'v')
(0, 118, 208, 'v')
(0, 119, 207, 'v')
(0, 120, 203, 'v')
(0, 121, 201, 'v')
(0, 122, 205, 'v')
(0, 123, 204, 'v')
(0, 124, 201, 'v')
(0, 125, 201, 'v')
(0, 126, 200, 'v')
(0, 127, 200, 'v')
(0, 128, 199, 'v')
(0, 129, 198, 'v')
(0, 130, 196, 'v')
(0, 132, 195, 'v')
(0, 133, 182, 'v')
(0, 134, 181, 'v')
(0, 135, 179, 'v')
(0, 136, 178, 'v')
(0, 137, 177, 'v')
(0, 138, 177, 'v')
(0, 142, 213, 'v')
(0, 144, 216, 'v')
(0, 145, 219, 'v')
(0, 148, 226, 'v')
(0, 150, 229, 'v')
(1, 1, 0, 'v')
(1, 2, 56, 'v')
(1, 6, 53, 'v')
(2, 0, 126, 'h')
(2, 1, 56, 'v')
(2, 2, 0, 'v')
(2, 3, 121, 'v')
(2, 7, 3, 'v')
(2, 9, 39, 'h')
(2, 10, 62, 'h')
(2, 11, 64, 'h')
(2, 16, 80, 'h')
(2, 17, 155, 'h')
(2, 130, 260, 'h')
