(42, 191)
(0, 51)
(0, 107)
(0, 228)
(0, 283)
(0, 379)
(2, 0)
(2, 108)
(2, 284)
(16, 130)
(17, 152)
(18, 153)
(23, 379)
(24, 380)
(26, 381)
(25, 285)
(30, 157)
(34, 228)
(47, 286)
(50, 384)
(53, 385)
(62, 229)
(60, 287)
(66, 0)
(67, 2)
(67, 231)
(68, 4)
(69, 6)
(69, 157)
(70, 8)
(71, 10)
(72, 12)
(73, 13)
(74, 16)
(75, 17)
(75, 232)
(76, 19)
(74, 288)
(77, 21)
(77, 447)
(78, 23)
(79, 25)
(79, 92)
(80, 27)
(80, 121)
(80, 154)
(81, 29)
(82, 30)
(83, 33)
(85, 36)
(86, 38)
(87, 40)
(88, 42)
(86, 289)
(89, 44)
(87, 446)
(91, 47)
(89, 447)
(93, 290)
(96, 291)
(101, 233)
(101, 386)
(107, 81)
(117, 292)
(120, 234)
(121, 447)
(122, 444)
(121, 97)
(122, 98)
(125, 442)
(126, 45)
(127, 100)
(132, 235)
(132, 102)
(134, 36)
(134, 103)
(136, 387)
(136, 423)
(137, 424)
(138, 425)
(139, 293)
(139, 426)
(140, 105)
(142, 106)
(142, 428)
(144, 430)
(145, 431)
(147, 108)
(148, 434)
(150, 109)
(150, 435)
(151, 440)
(152, 110)
(152, 294)
(155, 111)
(157, 112)
(159, 236)
(157, 442)
(158, 446)
(160, 447)
(162, 114)
(166, 36)
(164, 115)
(169, 388)
(168, 116)
(169, 117)
(175, 43)
(176, 37)
(177, 30)
(178, 23)
(181, 5)
(182, 0)
(184, 237)
(185, 294)
(186, 241)
(186, 292)
(185, 124)
(186, 126)
(187, 128)
(188, 130)
(192, 138)
(194, 142)
(199, 143)
(200, 145)
(201, 149)
(202, 150)
(203, 152)
(204, 153)
(205, 155)
(206, 157)
(207, 160)
(209, 389)
(208, 162)
(209, 176)
(210, 178)
(211, 181)
(212, 183)
(213, 185)
(214, 186)
(243, 390)
(244, 79)
(250, 85)
(250, 186)
(251, 87)
(252, 185)
(254, 184)
(255, 95)
(256, 98)
(259, 182)
(260, 106)
(261, 181)
(55, 334)
